iy,width,height,depth,area,porosity_at_iy,total_volume_material_at_iy
0.00024,0.00015,0.00015999999999999999,0.00013499999999999997,1.6150000000000002e-08,0.0046439628482972135,8.075000000000002e-14
0.000245,0.000145,0.00015999999999999999,0.00013499999999999997,1.6100000000000002e-08,0.006211180124223602,8.050000000000002e-14
0.00025,0.000145,0.00015999999999999999,0.00013499999999999997,1.5975000000000002e-08,0.0,7.987500000000003e-14
0.000255,0.000145,0.00015999999999999999,0.00013499999999999997,1.5925000000000002e-08,0.0,7.962500000000003e-14
0.00026,0.000145,0.00015999999999999999,0.000125,1.5900000000000003e-08,0.004716981132075471,7.950000000000003e-14
0.000265,0.000145,0.00015499999999999997,0.000125,1.5975000000000002e-08,0.010954616588419404,7.987500000000003e-14
0.00027,0.00014,0.00015499999999999997,0.000125,1.5850000000000003e-08,0.012618296529968456,7.925000000000002e-14
0.000275,0.00015,0.00015499999999999997,0.000125,1.5925000000000002e-08,0.012558869701726844,7.962500000000003e-14
0.00028,0.000155,0.00015499999999999997,0.00011999999999999999,1.57e-08,0.006369426751592357,7.850000000000002e-14
0.000285,0.000145,0.00015499999999999997,0.00011999999999999999,1.5600000000000004e-08,0.009615384615384614,7.800000000000002e-14
0.00029,0.000145,0.00015000000000000001,0.00011999999999999999,1.5225000000000002e-08,0.0,7.612500000000002e-14
0.000295,0.000145,0.00015000000000000001,0.00011999999999999999,1.5550000000000004e-08,0.012861736334405145,7.775000000000002e-14
0.0003,0.00015,0.00015000000000000001,0.00011999999999999999,1.5600000000000004e-08,0.01282051282051282,7.800000000000002e-14
0.000305,0.00015,0.00015000000000000001,0.00011999999999999999,1.565e-08,0.019169329073482427,7.825000000000002e-14
0.00031,0.00015,0.00015000000000000001,0.00011999999999999999,1.5425000000000004e-08,0.0032414910858995136,7.712500000000002e-14
0.000315,0.000145,0.00015000000000000001,0.00011999999999999999,1.5375000000000004e-08,0.0,7.687500000000003e-14
0.00032,0.00022,0.00015000000000000001,0.00014,1.6925000000000004e-08,0.019202363367799114,8.462500000000002e-14
0.000325,0.000215,0.00015000000000000001,0.00014,1.6925000000000004e-08,0.01772525849335303,8.462500000000002e-14
0.00033,0.000145,0.00015000000000000001,0.00011999999999999999,1.5575000000000002e-08,0.008025682182985555,7.787500000000002e-14
0.000335,0.000145,0.000145,0.000125,1.5475e-08,0.008077544426494346,7.737500000000002e-14
0.00034,0.000145,0.000145,0.000125,1.5400000000000002e-08,0.011363636363636362,7.700000000000003e-14
0.000345,0.00014,0.00014,0.000125,1.5075e-08,0.001658374792703151,7.537500000000002e-14
0.00035,0.00014,0.000145,0.000125,1.5050000000000002e-08,0.0,7.525000000000002e-14
0.000355,0.00015,0.000145,0.00013000000000000002,1.5200000000000004e-08,0.0,7.600000000000002e-14
0.00036,0.00015,0.00015499999999999997,0.00013000000000000002,1.5225000000000002e-08,0.0032840722495894913,7.612500000000002e-14
0.000365,0.000145,0.00015499999999999997,0.00014,1.5375000000000004e-08,0.009756097560975608,7.687500000000003e-14
0.00037,0.000145,0.00015000000000000001,0.00014,1.525e-08,0.011475409836065575,7.625000000000002e-14
0.000375,0.000145,0.00015000000000000001,0.00014,1.5225000000000002e-08,0.009852216748768473,7.612500000000002e-14
0.00038,0.00014,0.000145,0.00013499999999999997,1.5125e-08,0.008264462809917356,7.562500000000002e-14
0.000385,0.00014,0.00015000000000000001,0.00013499999999999997,1.5075e-08,0.009950248756218905,7.537500000000002e-14
0.00039,0.00014,0.00015000000000000001,0.00013499999999999997,1.5050000000000002e-08,0.009966777408637873,7.525000000000002e-14
0.000395,0.000145,0.000145,0.00013000000000000002,1.5175000000000002e-08,0.01482701812191104,7.587500000000002e-14
0.0004,0.000145,0.00015499999999999997,0.00013000000000000002,1.5200000000000004e-08,0.013157894736842106,7.600000000000002e-14
0.000405,0.000145,0.00015499999999999997,0.00013499999999999997,1.5400000000000002e-08,0.01461038961038961,7.700000000000003e-14
0.00041,0.00015,0.00015000000000000001,0.00014,1.6025000000000003e-08,0.020280811232449295,8.012500000000002e-14
0.000415,0.000155,0.00015499999999999997,0.00014,1.6350000000000004e-08,0.024464831804281346,8.175000000000002e-14
0.00042,0.000155,0.00015499999999999997,0.00014,1.6250000000000003e-08,0.023076923076923078,8.125000000000002e-14
0.000425,0.000155,0.00015000000000000001,0.00014,1.6575e-08,0.04826546003016591,8.287500000000003e-14
0.00043,0.000155,0.00015000000000000001,0.00013499999999999997,1.5975000000000002e-08,0.02034428794992175,7.987500000000003e-14
0.000435,0.000155,0.00015000000000000001,0.00013499999999999997,1.6000000000000004e-08,0.024999999999999998,8.000000000000003e-14
0.00044,0.00015,0.000145,0.00014,1.5400000000000002e-08,0.004870129870129869,7.700000000000003e-14
0.000445,0.00015,0.000145,0.00013499999999999997,1.5175000000000002e-08,0.009884678747940691,7.587500000000002e-14
0.00045,0.00014,0.000145,0.00013499999999999997,1.5000000000000002e-08,0.006666666666666666,7.500000000000002e-14
0.000455,0.00014,0.000145,0.00013000000000000002,1.5000000000000002e-08,0.004999999999999999,7.500000000000002e-14
0.00046,0.000135,0.000145,0.00013499999999999997,1.5475e-08,0.03231017770597738,7.737500000000002e-14
0.000465,0.000145,0.000145,0.00013499999999999997,1.5275000000000003e-08,0.011456628477905075,7.637500000000002e-14
