sigma,Marangoni_Constant,substrate_temp,absorptivity,width_um_140W,depth_um_140W,area_um2_140W,width_um_170W,depth_um_170W,area_um2_170W,objective,status
1.773956049,-0.000450653,300.0,1.0,,,,,,,46.69342070536891,ok
1.697368029,-0.000725035,300.0,1.0,,,,,,,45.146186731318906,ok
1.761139702,-0.000174293,300.0,1.0,,,,,,,48.93899931448177,ok
1.009259782,-0.000650096,300.0,1.0,,,,,,,42.75847771695516,ok
1.045114746,-5.5e-05,300.0,1.0,,,,,,,47.237014280514735,ok
1.438386258584193,-0.0004208991823649,797.3508744675124,1.0,,,,,,,36.46094470585445,ok
1.9923755640558367,-9.022489606108848e-05,674.3040097284746,1.0,,,,,,,42.33046397563061,ok
1.951194660003841,-0.0007056910525352,725.2668395953913,1.0,,,,,,,37.67585473493268,ok
1.1064195318713828,-4.712634542506028e-06,632.8423680532685,1.0,,,,,,,42.87378661931258,ok
1.0040076047333395,-0.0007868024776895,796.5422909652532,1.0,,,,,,,33.459723488898554,ok
1.3397359477490305,-0.0007432893960161,537.652808941802,1.0,,,,,,,39.53136894152377,ok
1.012397213915796,-0.0003942512107383,553.5950596579645,1.0,,,,,,,40.36408397049616,ok
1.5425440710475264,-0.0002014473954156,511.7926741473932,1.0,,,,,,,44.18595422494944,ok
1.46675292591894,-1.160802557544343e-05,798.1325314695666,1.0,,,,,,,39.97671265264359,ok
1.980244625275948,-0.0006204833272066,510.84427739179614,1.0,,,,,,,42.814865781028416,ok
1.4685450294752067,-0.0007751033079852,779.9712096721993,1.0,,,,,,,35.60872869947641,ok
1.0138476459739678,-0.0003209212395678,773.7368978700683,1.0,,,,,,,35.71798603775157,ok
1.986711979031281,-2.010026610360736e-05,468.6364861446329,1.0,,,,,,,47.182621660134814,ok
1.8572802663494847,-0.0003533035687534,772.0634727058614,1.0,,,,,,,38.13925700040446,ok
1.3923829658293148,-0.0003724864248892,307.2320573009864,1.0,,,,,,,46.17007638758043,ok
