sigma,Marangoni_Constant,recoilCoeff,radius_flavour,laser_radius,substrate_temp,absorptivity,width_um_140W,depth_um_140W,area_um2_140W,width_um_200W,depth_um_200W,area_um2_200W,width_um_260W,depth_um_260W,area_um2_260W,objective,status
1.013677041,-4.73e-06,1.959366529,2.0,5e-05,300.0,1.0,97.0,53.27636364,700.2727273,114.1818182,65.32818182,969.2727273,122.4545455,79.27909091,1206.272727,14.777459550452502,ok
1.7599249111631496,-0.0007873201574249,0.5,2.0,5e-05,300.0,1.0,95.72727272727272,52.00727272727274,657.6363636363635,107.1818181818182,62.79000000000001,902.7272727272727,134.54545454545453,60.25181818181819,1098.5454545454545,6.461997336460866,ok
1.812467528392891,-0.0011564102712237,0.5,2.0,5e-05,300.0,1.0,107.8181818181818,45.667272727272746,675.2727272727274,131.99999999999997,55.17545454545454,965.1818181818184,143.45454545454547,64.69363636363637,1174.4545454545453,10.9496854910871,ok
1.724925787359102,-0.0006463900995045,0.5,2.0,5e-05,300.0,1.0,104.63636363636364,42.49454545454547,639.9999999999999,121.81818181818184,55.17545454545456,890.9999999999999,136.45454545454547,60.25181818181819,1081.9090909090908,8.101874374737058,ok
1.8251029731163613,-0.000819678402332,0.5,2.0,5e-05,300.0,1.0,104.0,44.39818181818183,652.4545454545454,124.3636363636364,53.27363636363636,913.5454545454544,135.8181818181818,58.34909090909092,1097.1818181818182,8.684135013268417,ok
3.0,-0.0007278167857755,0.5,2.0,5e-05,300.0,1.0,98.27272727272728,36.78636363636363,603.2727272727271,112.90909090909088,47.56363636363636,804.6363636363637,121.81818181818184,52.00636363636363,977.090909090909,14.203158204980362,ok
1.715686284645614,-0.0008896763046057,0.5,2.0,5e-05,300.0,1.0,104.0,45.03272727272729,658.7272727272726,128.1818181818182,58.98272727272728,958.0909090909088,139.63636363636363,64.69363636363637,1159.3636363636365,8.820972927392262,ok
1.7683882802502846,-0.0007294754785231,0.7433405955891449,2.0,5e-05,300.0,1.0,101.45454545454544,43.12909090909093,635.4545454545456,123.0909090909091,53.27363636363637,899.090909090909,137.0909090909091,59.617272727272734,1105.4545454545453,7.929848374086208,ok
2.079231037890171,-0.0007790089385661,0.5,2.0,5e-05,300.0,1.0,102.09090909090908,41.860909090909104,630.8181818181819,119.2727272727273,52.63909090909091,887.6363636363636,136.45454545454547,59.617272727272734,1085.1818181818182,7.993983569710306,ok
3.0,-4.000000000000097e-06,2.0,2.0,5e-05,300.0,1.0,95.72727272727272,39.32272727272728,609.0,107.8181818181818,43.76272727272727,749.090909090909,118.63636363636364,50.10181818181818,922.9090909090908,15.928407105641243,ok
3.0,-0.0015,2.0,2.0,5e-05,300.0,1.0,101.45454545454544,45.03272727272729,646.0,121.81818181818184,56.44454545454547,918.5454545454544,133.90909090909088,61.52090909090912,1123.090909090909,6.165499315708519,ok
2.9366680147134017,-0.0015,2.0,2.0,5e-05,300.0,1.0,102.72727272727272,41.860909090909104,644.2727272727271,118.63636363636364,54.540909090909096,890.1818181818181,137.0909090909091,59.617272727272734,1127.5454545454547,7.666946492389572,ok
3.0,-0.0015,1.6191695535507984,2.0,5e-05,300.0,1.0,101.45454545454544,45.03272727272729,646.0,121.81818181818184,56.44454545454547,918.5454545454544,133.90909090909088,61.52090909090912,1123.090909090909,6.165499315708519,ok
3.0,-0.0013265012172101,1.83838455472009,2.0,5e-05,300.0,1.0,103.36363636363636,43.12909090909093,640.3636363636361,119.90909090909092,52.00272727272728,892.0,131.36363636363637,53.90909090909091,1064.3636363636365,10.192640962481663,ok
3.0,-0.0015,0.5,2.0,5e-05,300.0,1.0,101.45454545454544,45.03272727272729,646.0,121.81818181818184,56.44454545454547,918.5454545454544,133.90909090909088,61.52090909090912,1123.090909090909,6.165499315708519,ok
3.0,-0.0015,1.0180135056517037,2.0,5e-05,300.0,1.0,101.45454545454544,45.03272727272729,646.0,121.81818181818184,56.44454545454547,918.5454545454544,133.90909090909088,61.52090909090912,1123.090909090909,6.165499315708519,ok
